Video ID,Author Name,Comment Text,Comment Date,Comment Likes,Replies,Is Creator
_1lKwm3VSgw,@MihaelaMiller-s6z,"Germania,  am votat  lumea civilizatā care respectā Valorile Morale,  cu Nicușor Dan ! ❤",2025-05-18T19:15:09Z,114,28,False
_1lKwm3VSgw,@buciifalus6313,"Cel mai bun președinte al României, cu o mare experientă!  Felicitări poporului roman, inteligența a învins!",2025-05-18T20:14:56Z,102,17,False
_1lKwm3VSgw,@MaximDL1410,Din Danemarca am votat Nicușor Dan în ambele tururi 😉👏❤️✊💪🙏.,2025-05-18T20:11:58Z,101,26,False
_1lKwm3VSgw,@marianene8672,Domnul basescu este ce mai bine informat,2025-05-18T19:15:37Z,94,10,False
_1lKwm3VSgw,@bobenonbob,Eu personal in diaspora am ajuns la ultimul tur cu tovarasi care NU au votat de 15 ani. Si nu au votat un scaun gol de data aceasta! Au votat pentru civilizatie!❤,2025-05-18T22:11:25Z,88,24,False
_1lKwm3VSgw,@doinitaifrim5955,"FELICITARI TUTUROR OAMENILOR DECENTI CU DISCERNAMINT,INDIFERETDE UNDE AU VOTAT EI PT ROMANIA DEMOCRATICA SI PT ROMANIA IN EUROPA!!❤❤❤",2025-05-18T21:04:00Z,81,11,False
_1lKwm3VSgw,@elenamalita2385,"Am votat pro europa,, Nicusor presidente,Spania",2025-05-18T19:16:54Z,66,8,False
_1lKwm3VSgw,@doinapatrascu704,Demult nu am mai trăit o asemenea bucurie imensă.Tare mă bucur că ne-am recaștigat locul alături de țările din Europa care iubesc libertatea.,2025-05-19T05:39:45Z,64,8,False
_1lKwm3VSgw,@samigrosza178,Noi am votat în Germania am un grup am votat 100 de persoane cu Nicușor,2025-05-18T19:18:24Z,60,21,False
_1lKwm3VSgw,@verginiamoga5466,"Gata cu circul suveranist,bravo romanilor cu,,scaun la cap""!!!",2025-05-18T20:27:49Z,59,8,False
_1lKwm3VSgw,@edw4378,A VENIT VREMEA SĂ SCĂPĂM DE MAIMUȚOIUL DE SIMION ȘI CG NINO NINO.  CIOCUL MIC!!!  😂😂😂😂,2025-05-18T19:17:55Z,57,8,False
_1lKwm3VSgw,@11Cristina11,Sa fii nebun sa fii din diaspora si sa il votezi pe un personaj ca Simion. 😂😂😂,2025-05-18T19:40:17Z,56,12,False
_1lKwm3VSgw,@calistruanastasia3537,"Felicitari, România!",2025-05-18T20:44:44Z,50,5,False
_1lKwm3VSgw,@oadadmin,"Cetățean român din 2014, locuiesc in Germania. Am votat pentru prima dată, împreună cu soția pentru Nicușor când am auzit ce zice domnul Președinte despre situația in care se afla România. Poporul Român n-o să fie comandat din moscova.",2025-05-18T20:34:33Z,47,14,False
_1lKwm3VSgw,@eugeniagroita5209,Mulțumesc LUI DUMNEZEU că mi-a ascultat RUGĂCIUNEA! FELICITĂRI TUTUROR care au înțeles alegerea DIVINITĂȚII!,2025-05-18T21:12:38Z,46,13,False
_1lKwm3VSgw,@ricordandomi...,"Simion e sef de galerie, deci trebuie sa faca dezordine.... specialitatea lui😂... bine ca am scăpat de el si de GC 😂",2025-05-18T19:31:43Z,46,6,False
_1lKwm3VSgw,@petrianeagu5826,"Autoritatile SA fie pe faza , Símion extremistul e in stare de orice .Facem apel la toate institutile Statului Politia ,SA isi faca datoria.",2025-05-18T19:39:40Z,45,10,False
_1lKwm3VSgw,@elisabetarohonyi8675,BRAVOOO ROMANIA🇷🇴🇷🇴🇷🇴👋❤️🌺,2025-05-18T19:17:48Z,42,0,False
_1lKwm3VSgw,@Floenzo8907,💪🇪🇺❤️🇷🇴din diaspora4 voturi.,2025-05-18T19:13:58Z,39,0,False
_1lKwm3VSgw,@samigrosza178,Băsescu este Băsescu ❤,2025-05-18T19:18:50Z,37,1,False
_1lKwm3VSgw,@Marian-AlexandruSimion,"Felicitari tuturor oamenilor decenti, de oriunde au votat ei, cu adevarat pentru Romania si pentru Romania in Europa!!!",2025-05-18T20:50:23Z,37,0,False
_1lKwm3VSgw,@olteafree2406,"Din Spania la fel ,am votat Nicusor Dan",2025-05-18T20:37:55Z,36,7,False
_1lKwm3VSgw,@dorinafirica1036,A castigat ND presedinte,2025-05-18T19:27:17Z,36,2,False
_1lKwm3VSgw,@zinakatz3291,NICUSOR DAN PRESEDINTE,2025-05-18T19:26:30Z,35,3,False
_1lKwm3VSgw,@silviarusu7635,❤❤❤felicitari NICUSOR DAN ❤❤❤,2025-05-18T19:15:58Z,34,1,False
_1lKwm3VSgw,@maglothdaniela4732,Vorbeste Basescu care se pricepe la frauda...,2025-05-18T19:29:49Z,34,7,False
_1lKwm3VSgw,@cristinelpirvanescu8066,Nu s-a incheat numararea voturilor,2025-05-18T19:14:41Z,32,14,False
